sigma,NBBg_R,NBBg_a,NBBg_kD,NBBg_kE
0.35,3.206508173,0.003057066,1.979618838,3.270150993
0.35,2.997874881,0.003229574,1.225309661,2.88788717
0.35,2.710787271,0.003880178,241.3258895,4.685757231
0.35,2.539154818,0.00292292,0.733693229,7.201505118
0.35,1.859600286,0.002935865,185.0752344,4.020808034
0.35,2.074231983,0.002426637,1.666692205,3.058460495
0.35,2.597198532,0.00312081,0.735395786,7.078707194
0.35,2.833268836,0.002843406,11.10446877,3.882199446
0.35,2.907109916,0.003506543,0.626909802,3.116625742
0.35,2.542687443,0.003125674,0.616518112,4.51340764
0.35,2.886662142,0.0041177,1.349695789,2.937506306
0.35,2.43190666,0.002508942,4.661620391,2.507870528
0.35,3.111086633,0.003869166,2.35546345,3.278524749
0.35,2.515628168,0.002816438,2.280376693,3.982831275
0.35,2.614457355,0.00351264,2.561623071,3.493773865
0.35,2.64515587,0.002941528,2.48926145,2.30480055
0.35,2.943718372,0.004055825,0.783757961,4.286245497
0.35,2.510458992,0.003363035,1.346124208,5.775884683
0.35,3.262809566,0.00402239,0.429587342,3.969993287
0.35,1.852415903,0.003107909,0.640298685,6.584477888
0.35,3.134079908,0.003033189,31.98554674,2.389685366
0.35,2.900880068,0.004022655,1.399269702,3.996518014
0.35,3.128796692,0.003382365,0.782496278,3.128698874
0.35,2.863781119,0.003007426,451.7572327,1.868187519
0.35,2.497860906,0.002838047,0.452819737,4.193998047
0.35,2.859772128,0.003645681,378.8089731,4.838211184
0.35,2.342825542,0.002869167,1.467329092,5.461084436
0.35,2.839983005,0.00288278,1868.408801,3.398755688
0.35,2.583289936,0.004002194,0.447097661,11.8032964
0.35,1.939308149,0.003150695,3.756063692,2.323629637
0.35,2.608497865,0.003244106,1.342251914,7.825762948
0.35,2.91935932,0.003764327,1.633335077,5.757400891
0.4,2.397221181,0.002612969,1.13350149,3.156311745
0.4,2.744525079,0.00322689,1.164512591,3.413134257
0.4,3.393714692,0.002872786,9.391191664,2.165663282
0.4,2.585754424,0.002987362,5.683560553,2.862875436
0.4,2.502447855,0.0031279,0.67327131,2.722029389
0.4,3.581116237,0.004618727,4293.793475,2.388164023
0.4,2.446961066,0.003288222,0.833400611,4.022026362
